工单号,问题描述,解决步骤,推荐1,推荐1分数,推荐1原因,推荐2,推荐2分数,推荐2原因,推荐3,推荐3分数,推荐3原因,是否命中
51020112025,电脑上无法安装AUTOCAD软件,重装,design-software/cad-install-uninstall-failed,86,问题描述关键词:cad；问题描述关键词:autocad；问题描述tags:cad；问题描述tags:autocad；问题描述标题:CAD；问题描述标题:安装,design-software/cad-plm-interface-failed,40,问题描述关键词:cad；问题描述tags:cad；问题描述标题:CAD,design-software/cad-drawing-open-failed-encryption,40,问题描述关键词:cad；问题描述tags:cad；问题描述标题:CAD,是
51020112027,OA无法登录,账号输入错误,business-systems/oa-upload-or-print-slow,72,问题描述关键词:oa；问题描述systems:oa；问题描述tags:oa；问题描述标题:OA,desktop/account-login-failed,69,问题描述关键词:无法登录；问题描述关键词:oa；问题描述systems:oa；处理记录标题:账号,desktop/shared-file-cloud-drive-access,46,问题描述关键词:oa；问题描述systems:oa,是
91020420003,显示卡纸无法打印,出纸槽卡纸,desktop/printer-not-working,22,问题描述关键词:无法打印,desktop/printer-paper-jam,14,问题描述关键词:卡纸,printer/printer-paper-jam-feed-failed,14,问题描述关键词:卡纸,是
51020111933,帮忙安装一下三维软件，感谢,重装系统和软件,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:重装系统,design-software/cad-install-uninstall-failed,8,问题描述标题:安装,,,,是
51020112438,oa打印发车清单，时间较长,浏览器版本问题,business-systems/oa-upload-or-print-slow,120,问题描述关键词:oa打印；问题描述关键词:发车清单；处理记录关键词:浏览器版本；问题描述关键词:oa；问题描述systems:oa；问题描述tags:oa；问题描述标题:OA,printer/print-template-or-paper-size-error,66,问题描述关键词:发车清单；问题描述关键词:oa；问题描述systems:oa,desktop/shared-file-cloud-drive-access,46,问题描述关键词:oa；问题描述systems:oa,是
51020111483,无法开机，平常电脑也非常响,更换内存条，清灰,desktop/pc-boot-failed,22,问题描述关键词:无法开机,hardware/memory-fault-or-insufficient,6,处理记录关键词:内存条,,,,是
51021860120,无法登陆Mes系统,网络认证问题,desktop/network-authentication-unavailable,88,处理记录关键词:网络认证；处理记录关键词:认证问题；问题描述关键词:mes；问题描述systems:mes；问题描述tags:mes；问题描述标题:MES,business-systems/mes-login-network-related,72,问题描述关键词:mes；问题描述systems:mes；问题描述tags:mes；问题描述标题:MES,desktop/account-login-failed,46,问题描述关键词:mes；问题描述systems:mes,是
51020111667,更换主机,"主机黑屏，主板问题
更换主机",desktop/black-screen-desktop-not-shown,6,处理记录关键词:黑屏,,,,,,,是
51020152741,显示屏损坏,更换显示器,hardware/monitor-no-display-or-flicker,22,问题描述关键词:显示屏损坏,,,,,,,是
51020112063,Windows系统过期，需激活,重新连接KMS服务器激活,business-systems/kms-windows-office-activation,80,问题描述关键词:windows系统过期；处理记录关键词:kms；处理记录关键词:重新连接kms；问题描述关键词:系统过期；处理记录systems:kms；处理记录tags:kms,,,,,,,是
91020110386,电脑打不开了,内存问题,hardware/memory-fault-or-insufficient,10,处理记录关键词:内存问题,,,,,,,是
51020151983,二道门向西两个道闸自动开闭,检查是否主板损坏，排除主板损坏，检查是否某个电源损坏，排除电源，后续发现接地不对，导致零线带电，更改电源线路，解决问题,security/barrier-gate-abnormal,34,问题描述关键词:道闸；问题描述关键词:自动开闭,,,,,,,是
51020112113,"1、cad与plm接口我自己没有安装成功
2、sw三维软件没有激活成功",重装系统  重新安装软件,design-software/cad-plm-interface-failed,150,问题描述关键词:cad与plm；问题描述关键词:plm接口；问题描述关键词:cad；问题描述关键词:plm；问题描述systems:plm；问题描述tags:cad；问题描述tags:plm；问题描述标题:CAD,business-systems/plm-client-or-login-failed,72,问题描述关键词:plm；问题描述systems:plm；问题描述tags:plm；问题描述标题:PLM,design-software/cad-install-uninstall-failed,46,问题描述关键词:cad；问题描述tags:cad；问题描述标题:CAD；问题描述标题:安装,是
51020420093,卡纸，弄不出来,"已修复
定影卡纸",printer/printer-paper-jam-feed-failed,22,问题描述关键词:卡纸；处理记录关键词:定影卡纸,desktop/printer-paper-jam,14,问题描述关键词:卡纸,,,,是
51020112191,fast，和郑州之间不能发图片,服务器系统升级,,,,,,,,,,否
51020112438,已搬至电器库，电脑OA打印发车清单时间较长,原8G内存总是占满，增加到6g,business-systems/oa-upload-or-print-slow,112,问题描述关键词:oa打印；问题描述关键词:发车清单；问题描述关键词:oa；问题描述systems:oa；问题描述tags:oa；问题描述标题:OA,printer/print-template-or-paper-size-error,66,问题描述关键词:发车清单；问题描述关键词:oa；问题描述systems:oa,desktop/shared-file-cloud-drive-access,46,问题描述关键词:oa；问题描述systems:oa,是
51021860026,在军品车间双七东头，打不开电脑，不亮灯,"电源坏
主机不通电，开机没反应。
电源坏，更换电源",desktop/pc-boot-failed,6,处理记录关键词:不通电,,,,,,,是
51020151374,电脑连接打印机 打印机接收到打印任务但是不打印，或者打印不全。同办公室别的同事可以照常打印，没有问题。,打印机脱机,printer/printer-offline-or-paused,33,处理记录关键词:打印机脱机；问题描述关键词:接收到打印任务但是不打印；处理记录标题:打印机脱机,printer/shared-printer-connect-failed,22,问题描述关键词:连接打印机,,,,是
51020151184,显示屏字体模糊,显示器坏，更换显示器,hardware/monitor-no-display-or-flicker,30,处理记录关键词:显示器坏；问题描述关键词:字体模糊,,,,,,,是
51020111313,无法开机,主板电池没电 ，需要按F继续,desktop/pc-boot-failed,22,问题描述关键词:无法开机,,,,,,,是
51020112144,打印机连接不上,连接打印机，重新设置模板,desktop/printer-not-working,22,问题描述关键词:打印机连接不上,printer/shared-printer-connect-failed,10,处理记录关键词:连接打印机,,,,是
,投标文件word丢失 找不到,云盘文件被删除,business-systems/cloud-drive-install-sync-access,22,问题描述关键词:投标文件,desktop/shared-file-cloud-drive-access,6,处理记录关键词:云盘,,,,是
51020112659,电脑有故障打不开，急用电脑,网络认证问题,desktop/network-authentication-unavailable,18,处理记录关键词:网络认证；处理记录关键词:认证问题,,,,,,,是
51020152504,搬到油漆库了，连的三联纸没有sap 三联纸选项,添加SAP纸张选项,business-systems/sap-client-login-print-failed,80,问题描述关键词:sap；处理记录关键词:sap纸张；问题描述systems:sap；问题描述tags:sap；问题描述标题:SAP,security/access-control-offline-or-reboot,34,问题描述关键词:ap；问题描述tags:ap,printer/print-template-or-paper-size-error,22,问题描述关键词:三联纸；处理记录关键词:sap纸张,是
51020112619,开机后显示器不能显示,信号线松,hardware/monitor-no-display-or-flicker,10,处理记录关键词:信号线松,,,,,,,是
51020112995,画图非常卡，任务管理器内显卡不工作,硬盘有坏道,hardware/disk-fault-not-just-c-drive-full,10,处理记录关键词:硬盘有坏道,,,,,,,是
51020152424,悦享印（标书室）打印机又打不出来东西了,"360删除打印端口
卸载360安全卫士，重新安装打印机驱动",printer/print-port-deleted-by-security-software,27,处理记录关键词:打印端口；处理记录关键词:360删除打印端口；处理记录关键词:360；处理记录tags:360,printer/printer-driver-install-failed,10,处理记录关键词:打印机驱动,desktop/software-client-installation,10,处理记录关键词:重新安装,是
51020151656,显示屏出现黑条花屏,显示器坏更换显示器,hardware/monitor-no-display-or-flicker,22,处理记录关键词:显示器坏；问题描述关键词:花屏,,,,,,,是
51020112995,OA里面的待办任务，和已办任务全部都没有了，现在看报销流程看不到了,"流程号被删，数据库中未查到
重新发起",business-systems/oa-upload-or-print-slow,72,问题描述关键词:oa；问题描述systems:oa；问题描述tags:oa；问题描述标题:OA,desktop/shared-file-cloud-drive-access,46,问题描述关键词:oa；问题描述systems:oa,printer/print-template-or-paper-size-error,46,问题描述关键词:oa；问题描述systems:oa,是
51020152899,屏幕不定时会一直出现一大串\\\符号，帮忙解决一下。,键盘问题,hardware/keyboard-mouse-usb-peripheral-failed,5,处理记录标题:键盘,,,,,,,是
51020111856,开不了机，主机滴滴响，电源拔掉停10几分钟还是不行,内存缓存没清空，C盘空间不足,desktop/pc-boot-failed,22,问题描述关键词:开不了机,desktop/disk-c-drive-full,10,处理记录关键词:c盘空间不足,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:缓存没清空,是
51020152664,电脑卡顿，网络掉线,网线面板接触不良,desktop/pc-performance-slow,46,问题描述关键词:电脑卡顿；问题描述关键词:电脑卡；问题描述关键词:卡顿,network-security/network-cable-port-switch-fault,5,处理记录标题:网线,,,,是
51020420093,打印机不出纸,进纸盒传感器问题,printer/printer-paper-jam-feed-failed,14,问题描述关键词:不出纸,,,,,,,是
51020111986,与部分同事网络不通，无法通过内网进行沟通,检查网络稳定性与交换机日志，无异常，应属内网通发包未回应导致的头像变灰，另安装fast通讯软件,network-security/network-cable-port-switch-fault,26,问题描述关键词:网络不通；处理记录关键词:交换机,desktop/network-authentication-unavailable,22,问题描述关键词:网络不通,design-software/cad-install-uninstall-failed,5,处理记录标题:安装,是
51020112242,连接不上打印机,"系统更新导致共享路径不通
更换共享链接方式",printer/shared-printer-connect-failed,30,问题描述关键词:连接不上打印机；处理记录关键词:共享路径不通,desktop/printer-not-working,22,问题描述关键词:连接不上打印机,,,,是
51020111866,主机异响,信号线阻挡散热风扇,,,,,,,,,,否
51020112438,打印机无法打印,"连上共享打印机后无法打印
填写打印码，重新配置WMS打印插件，再帮忙连接一个针式打印机",printer/label-printer-paper-recognition,32,处理记录关键词:wms；处理记录systems:wms；处理记录tags:wms,desktop/printer-not-working,22,问题描述关键词:无法打印,printer/print-template-or-paper-size-error,22,处理记录关键词:wms；处理记录systems:wms,是
51021860099,1，2键按不动，鼠标按不动,"键盘部分案件失灵，鼠标左键坏
外接键盘，更换鼠标",hardware/keyboard-mouse-usb-peripheral-failed,5,处理记录标题:键盘,,,,,,,是
,频闪打不开相关弹窗，紧急,软件卡，重启电脑,,,,,,,,,,否
51020151936,开不开机,主板坏，更换主机,desktop/pc-boot-failed,14,问题描述关键词:不开机,,,,,,,是
51020152504,打印机连不上！麻烦加急！！,"数据线松 ，打印机被删除
重新连接数据线，重新安装打印机",desktop/software-client-installation,10,处理记录关键词:重新安装,design-software/cad-install-uninstall-failed,5,处理记录标题:安装,,,,是
51020230079,三联打印机无法选择三联纸打印，只能打出来 a4 纸的，浪费纸,针式打印机重新连接，重新共享,printer/print-template-or-paper-size-error,26,问题描述关键词:三联纸；问题描述关键词:a4纸,,,,,,,是
51021860099,没有网，没有网，没有网,"用户说 mes里边图纸有时可以打开，有时打不开，误以为是网络故障
PLM数据库连接问题",desktop/network-authentication-unavailable,47,问题描述关键词:没有网；处理记录关键词:mes；处理记录systems:mes；处理记录tags:mes；处理记录标题:MES,desktop/account-login-failed,42,处理记录关键词:mes；处理记录关键词:plm；处理记录systems:mes；处理记录systems:plm,design-software/cad-plm-interface-failed,35,处理记录关键词:plm；处理记录systems:plm；处理记录tags:plm；处理记录标题:PLM,是
51020111494,远程进不了档案室,"远程档案室的电脑连不上
桌管查IP地址，ping不通，现场看断电关机，设置bios通电启动",network-security/vpn-or-remote-access-failed,22,问题描述关键词:远程进不了,network-security/ip-conflict-or-static-ip-error,13,处理记录关键词:ip地址；处理记录标题:IP,,,,是
51020111856,电脑开不了机,电脑缓存没清空,desktop/pc-boot-failed,22,问题描述关键词:开不了机,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:缓存没清空,,,,是
51021860099,没有网，没有网，没有网？,plm数据库问题,design-software/cad-plm-interface-failed,35,处理记录关键词:plm；处理记录systems:plm；处理记录tags:plm；处理记录标题:PLM,business-systems/plm-client-or-login-failed,35,处理记录关键词:plm；处理记录systems:plm；处理记录tags:plm；处理记录标题:PLM,desktop/account-login-failed,22,处理记录关键词:plm；处理记录systems:plm,是
51021860133,无法看图，已经几天了,plm数据库问题,design-software/cad-plm-interface-failed,35,处理记录关键词:plm；处理记录systems:plm；处理记录tags:plm；处理记录标题:PLM,business-systems/plm-client-or-login-failed,35,处理记录关键词:plm；处理记录systems:plm；处理记录tags:plm；处理记录标题:PLM,desktop/account-login-failed,22,处理记录关键词:plm；处理记录systems:plm,是
51020112183,最近每天早上开机后，过个10分钟一会就死机，已经持续4、5天了，重启后这一天就没有问题了，今天早上特殊开机已经死机2次了。,机械硬盘有坏道 引起电脑死机,hardware/disk-fault-not-just-c-drive-full,18,处理记录关键词:机械硬盘有坏道；处理记录关键词:硬盘有坏道,,,,,,,是
51020112396,电脑卡顿，同事清理内存后无法登陆OA,"IE组件被删除，兼容性问题打不开
更换edge.浏览器",business-systems/oa-upload-or-print-slow,72,问题描述关键词:oa；问题描述systems:oa；问题描述tags:oa；问题描述标题:OA,desktop/shared-file-cloud-drive-access,46,问题描述关键词:oa；问题描述systems:oa,printer/print-template-or-paper-size-error,46,问题描述关键词:oa；问题描述systems:oa,是
51020151361,连接1007和1005办公室打印机，及处理1004电脑开机事宜,重新连接打印机,printer/shared-printer-connect-failed,18,处理记录关键词:重新连接打印机；处理记录关键词:连接打印机,,,,,,,是
51021860133,上午到现在无法正常看图,PLM系统问题,design-software/cad-plm-interface-failed,35,处理记录关键词:plm；处理记录systems:plm；处理记录tags:plm；处理记录标题:PLM,business-systems/plm-client-or-login-failed,35,处理记录关键词:plm；处理记录systems:plm；处理记录tags:plm；处理记录标题:PLM,desktop/account-login-failed,22,处理记录关键词:plm；处理记录systems:plm,是
51020111968,连不上内网了,"以太网打叉
墙上网口接触不好",network-security/network-cable-port-switch-fault,26,处理记录关键词:墙上网口；处理记录关键词:以太网打叉；处理记录关键词:网口接触不好,,,,,,,是
51020210079,一直显示脱机，不能打印，加急处理一下吧,系统更新问题,printer/printer-offline-or-paused,22,问题描述关键词:显示脱机,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:系统更新问题,,,,是
51020151206,无法连接打印机,打印机换电脑链接   重新安装驱动和共享,printer/shared-printer-connect-failed,42,问题描述关键词:无法连接打印机；问题描述关键词:连接打印机,desktop/printer-not-working,22,问题描述关键词:无法连接打印机,printer/printer-driver-install-failed,10,处理记录关键词:安装驱动,是
51020111850,主机无法开机且报警，开机指示灯一直闪烁,缓存没清空,desktop/pc-boot-failed,22,问题描述关键词:无法开机,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:缓存没清空,,,,是
51021860100,白屏,c盘空间满,,,,,,,,,,否
91020110248,CAD与PLM接口问题,已联系申欢处理,design-software/cad-plm-interface-failed,150,问题描述关键词:cad与plm；问题描述关键词:plm接口；问题描述关键词:cad；问题描述关键词:plm；问题描述systems:plm；问题描述tags:cad；问题描述tags:plm；问题描述标题:CAD,business-systems/plm-client-or-login-failed,72,问题描述关键词:plm；问题描述systems:plm；问题描述tags:plm；问题描述标题:PLM,desktop/account-login-failed,46,问题描述关键词:plm；问题描述systems:plm,是
51020210109,无法打印,系统更新导致，打印服务无法启动,desktop/printer-not-working,22,问题描述关键词:无法打印,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:无法启动,,,,是
51020150022,打不开，显示屏不亮,显示器坏 更换显示器,hardware/monitor-no-display-or-flicker,30,问题描述关键词:显示屏不亮；处理记录关键词:显示器坏,,,,,,,是
51020112429,pdf文件不能打开,"pdf打开方式不对
更改.pdf格式默认打开方式",office/pdf-reader-open-print-failed,60,问题描述关键词:pdf；问题描述关键词:pdf文件不能打开；问题描述tags:pdf；问题描述标题:PDF,,,,,,,是
51020151415,加密软件登不上，手动上线失败,"网络认证掉线
重新上线",network-security/encryption-client-offline,42,问题描述关键词:加密软件登不上；问题描述关键词:手动上线失败,desktop/account-login-failed,14,问题描述关键词:登不上,desktop/network-authentication-unavailable,10,处理记录关键词:网络认证,是
91020220007,打印照片出现断续横纹,初步判断定影问题，需要送到售后进一步检测,printer/print-quality-faded-streaks-head-wear,40,问题描述关键词:横纹；问题描述关键词:断续横纹；问题描述标题:横纹,,,,,,,是
